#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	Min-same	Min-diff	BioSample	Assembly	Computed types
Salmonella enterica	AUSMDU00024359	"AUSMDU00024359","SRS15259922"	1,4,[5],12:i:-	PDT001489720.1	2022-11-20T16:46:36Z	Australia: Victoria		clinical	0	27	SAMN31058123	GCA_026287395.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00039347	"AUSMDU00039347","SRS15259915"	1,4,[5],12:i:-	PDT001489726.1	2022-11-20T16:46:37Z	Australia: Victoria		clinical	19	19	SAMN31058795	GCA_026296385.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00038975	"AUSMDU00038975","SRS15259902"	1,4,[5],12:i:-	PDT001489736.1	2022-11-20T16:46:39Z	Australia: Victoria		clinical	0	31	SAMN31058767	GCA_026875465.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00036363	"AUSMDU00036363","SRS15259875"	1,4,[5],12:i:-	PDT001489761.1	2022-11-20T16:46:44Z	Australia: Victoria		clinical	10	20	SAMN31058650	GCA_026875205.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00032727	"AUSMDU00032727","SRS15259844"	1,4,[5],12:i:-	PDT001489786.1	2022-11-20T16:46:49Z	Australia: Victoria		clinical	12	14	SAMN31058532	GCA_026296075.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00032666	"AUSMDU00032666","SRS15259840"	1,4,[5],12:i:-	PDT001489789.1	2022-11-20T16:46:50Z	Australia: Victoria		clinical	16	24	SAMN31058529	GCA_026288675.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00032251	"AUSMDU00032251","SRS15259826"	1,4,[5],12:i:-	PDT001489801.1	2022-11-20T16:46:52Z	Australia: Victoria		clinical	11	32	SAMN31058516	GCA_026288655.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00029796	"AUSMDU00029796","SRS15259816"	1,4,[5],12:i:-	PDT001489809.1	2022-11-20T16:46:54Z	Australia: Victoria		clinical	1	9	SAMN31058421	GCA_026289985.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00029470	"AUSMDU00029470","SRS15259797"	1,4,[5],12:i:-	PDT001489826.1	2022-11-20T16:46:57Z	Australia: Victoria		clinical	24	24	SAMN31058403	GCA_026295855.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00027432	"AUSMDU00027432","SRS15259792"	1,4,[5],12:i:-	PDT001489829.1	2022-11-20T16:46:58Z	Australia: Victoria		clinical	1	9	SAMN31058313	GCA_026289915.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00027332	"AUSMDU00027332","SRS15259788"	1,4,[5],12:i:-	PDT001489832.1	2022-11-20T16:46:59Z	Australia: Victoria		clinical	24	37	SAMN31058309	GCA_026295755.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00027280	"AUSMDU00027280","SRS15259782"	1,4,[5],12:i:-	PDT001489838.1	2022-11-20T16:47:00Z	Australia: Victoria		clinical	9	27	SAMN31058303	GCA_026295715.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00027262	"AUSMDU00027262","SRS15259781"	1,4,[5],12:i:-	PDT001489839.1	2022-11-20T16:47:00Z	Australia: Victoria		clinical	3	21	SAMN31058302	GCA_026295695.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00027150	"AUSMDU00027150","SRS15259778"	1,4,[5],12:i:-	PDT001489841.1	2022-11-20T16:47:00Z	Australia: Victoria		clinical	1	19	SAMN31058296	GCA_026298315.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00027003	"AUSMDU00027003","SRS15259766"	1,4,[5],12:i:-	PDT001489850.1	2022-11-20T16:47:02Z	Australia: Victoria		clinical	20	24	SAMN31058289	GCA_026288615.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00026796	"AUSMDU00026796","SRS15259763"	1,4,[5],12:i:-	PDT001489853.1	2022-11-20T16:47:03Z	Australia: Victoria		clinical	0	18	SAMN31058286	GCA_026289775.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00025110	"AUSMDU00025110","SRS15259741"	1,4,[5],12:i:-	PDT001489870.1	2022-11-20T16:47:06Z	Australia: Victoria		clinical	0	9	SAMN31058180	GCA_026295395.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00024887	"AUSMDU00024887","SRS15259727"	1,4,[5],12:i:-	PDT001489881.1	2022-11-20T16:47:09Z	Australia: Victoria		clinical	0	9	SAMN31058173	GCA_026289695.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00024831	"AUSMDU00024831","SRS15259719"	1,4,[5],12:i:-	PDT001489887.1	2022-11-20T16:47:10Z	Australia: Victoria		clinical	3	21	SAMN31058160	GCA_026295235.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00024663	"AUSMDU00024663","SRS15259707"	1,4,[5],12:i:-	PDT001489897.1	2022-11-20T16:47:12Z	Australia: Victoria		clinical	0	27	SAMN31058149	GCA_026286575.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	AUSMDU00024657	"AUSMDU00024657","SRS15259705"	1,4,[5],12:i:-	PDT001489899.1	2022-11-20T16:47:12Z	Australia: Victoria		clinical	8	18	SAMN31058147	GCA_026295155.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	YA00391888	"ERS13656181","SAL_OB4404AA","YA00391888"	Typhimurium_monophasic	PDT001490708.1	2022-11-21T13:41:21Z	South Africa: Western Cape	Human, Other	clinical	3	36	SAMEA111546121		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS317767	"PNUSAS317767","SRS15815503"		PDT001490901.1	2022-11-21T19:38:55Z	USA		clinical	4	17	SAMN31812228	GCA_026267995.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS317781	"PNUSAS317781","SRS15815542"		PDT001490936.1	2022-11-21T19:39:00Z	USA		clinical	2	8	SAMN31812260	GCA_026267335.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS317778	"PNUSAS317778","SRS15815586"		PDT001490980.1	2022-11-21T19:39:06Z	USA		clinical	13	14	SAMN31812264	GCA_026266235.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS317450	"PNUSAS317450","SRS15815965"		PDT001491084.1	2022-11-21T19:39:21Z	USA		clinical	3	4	SAMN31813995	GCA_026264675.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS317929	"PNUSAS317929","SRS15820010"		PDT001491328.1	2022-11-21T21:43:45Z	USA		clinical	20	38	SAMN31819329	GCA_026269745.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	FSIS12217312	"FSIS12217312","SRS15824208"	Salmonella enterica subsp. enterica serovar I 4,[5],12:i:-	PDT001491912.1	2022-11-22T03:39:59Z	USA:IA	Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef	environmental/other	0	2	SAMN31822616		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	FSIS12217331	"FSIS12217331","SRS15826033"	Salmonella enterica subsp. enterica serovar I 4,[5],12:i:-	PDT001491959.1	2022-11-22T03:40:10Z	USA:TN	Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork	environmental/other	0	11	SAMN31823118		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica		"DTU_2021_1002266_1_SI_COL_BOG_042","ERS13616338"		PDT001495177.1	2022-11-22T21:45:37Z	Colombia	blood	clinical	15	26	SAMEA111503976	GCA_026322195.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS318538	"PNUSAS318538","SRS15850867"		PDT001496049.1	2022-11-23T18:44:15Z	USA		clinical	0	3	SAMN31852714	GCA_026362275.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS318524	"PNUSAS318524","SRS15850919"		PDT001496053.1	2022-11-23T18:44:16Z	USA		clinical	9	12	SAMN31852735	GCA_026362035.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS318528	"PNUSAS318528","SRS15850929"		PDT001496062.1	2022-11-23T18:44:17Z	USA		clinical	1	4	SAMN31852739	GCA_026361935.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS318526	"PNUSAS318526","SRS15851791"		PDT001496383.1	2022-11-23T19:45:07Z	USA		clinical	0	3	SAMN31852736	GCA_026366715.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS315429	"PNUSAS315429","SRS15853764"		PDT001496465.1	2022-11-23T20:44:35Z	USA		clinical	0	3	SAMN31853586	GCA_026366455.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS315453	"PNUSAS315453","SRS15853771"		PDT001496472.1	2022-11-23T20:44:36Z	USA		clinical	0	2	SAMN31853618	GCA_026367815.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS315438	"PNUSAS315438","SRS15853772"		PDT001496473.1	2022-11-23T20:44:36Z	USA		clinical	0	2	SAMN31853622	GCA_026367195.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
