sra_id,collection_date,geo_loc,isolation_source,host,biosample_id,
DRR022205,2009,Japan:Ehime,,,SAMD00019236,
DRR107052,2009,Japan,,Sus scrofa domesticus,SAMD00097504,
DRR107053,2008,Japan,,Sus scrofa domesticus,SAMD00097505,
DRR107054,2008,Japan,,Bos taurus,SAMD00097506,
DRR107055,2013,Japan,,Bos taurus,SAMD00097507,
DRR107056,2013,Japan,,Bos taurus,SAMD00097507,
DRR107057,2010,Italy,,Gallus gallus,SAMD00097508,
DRR236390,2009,Japan,,Sus scrofa domesticus,SAMD00234569,
DRR236391,2009,Japan,,Sus scrofa domesticus,SAMD00234570,
DRR236404,2015,Japan,,Bos taurus,SAMD00234583,
DRR236406,2015,Japan,,Bos taurus,SAMD00234585,
DRR236409,2015,Japan,,Bos taurus,SAMD00234588,
DRR236410,2015,Japan,,Bos taurus,SAMD00234589,
DRR236412,2015,Japan,,Bos taurus,SAMD00234591,
DRR236413,2015,Japan,,Bos taurus,SAMD00234592,
DRR236415,2016,Japan,,Bos taurus,SAMD00234594,
DRR236417,2010,Japan,,Bos taurus,SAMD00234596,
DRR236418,2011,Japan,,Bos taurus,SAMD00234597,
DRR236423,2014,Japan,,Bos taurus,SAMD00234602,
DRR236437,2015,Japan,,Bos taurus,SAMD00234616,
DRR236446,2010,Japan,,Bos taurus,SAMD00234625,
DRR236447,2011,Japan,,Bos taurus,SAMD00234626,
DRR236455,2014,Japan,,Bos taurus,SAMD00234634,
DRR236461,2014,Japan,,Bos taurus,SAMD00234640,
DRR236462,2014,Japan,,Bos taurus,SAMD00234641,
DRR236465,2013,Japan,,Bos taurus,SAMD00234644,
DRR236479,2016,Japan,,Sus scrofa domesticus,SAMD00234658,
DRR236502,2013,Japan,,Bos taurus,SAMD00234681,
DRR236503,2013,Japan,,Bos taurus,SAMD00234682,
DRR236504,2013,Japan,,Bos taurus,SAMD00234683,
DRR236509,2014,Japan,,Bos taurus,SAMD00234688,
DRR236518,2015,Japan,,Bos taurus,SAMD00234697,
DRR236519,2015,Japan,,Bos taurus,SAMD00234698,
DRR236520,2015,Japan,,Bos taurus,SAMD00234699,
DRR236521,2015,Japan,,Bos taurus,SAMD00234700,
DRR236522,2015,Japan,,Bos taurus,SAMD00234701,
DRR236531,2015,Japan,,Bos taurus,SAMD00234710,
DRR236533,2015,Japan,,Bos taurus,SAMD00234712,
DRR236534,2015,Japan,,Bos taurus,SAMD00234713,
DRR236537,2016,Japan,,Bos taurus,SAMD00234716,
DRR236539,2016,Japan,,Bos taurus,SAMD00234718,
DRR236546,2016,Japan,,Bos taurus,SAMD00234725,
DRR236549,2016,Japan,,Bos taurus,SAMD00234728,
DRR236551,2016,Japan,,Bos taurus,SAMD00234730,
DRR236564,2017,Japan,,Bos taurus,SAMD00234743,
DRR236565,2017,Japan,,Bos taurus,SAMD00234744,
DRR236566,2017,Japan,,Bos taurus,SAMD00234745,
DRR236586,2009,Japan,,Bos taurus,SAMD00234765,
DRR236587,2009,Japan,,Bos taurus,SAMD00234766,
DRR236588,2009,Japan,,Bos taurus,SAMD00234767,
DRR236589,2009,Japan,,Bos taurus,SAMD00234768,
DRR452349,2021,Japan:Hokkaido,synovial fluid,Equus caballus,SAMD00586411,
DRR452356,2019,Japan:Hokkaido,feaces,Equus caballus,SAMD00586418,
ERR024396,,,,,SAMEA788680,
ERR024630,,,,,SAMEA788097,
ERR024631,,,,,SAMEA788100,
ERR024633,,,,,SAMEA788084,
ERR024635,,,,,SAMEA788088,
ERR024636,,,,,SAMEA788085,
ERR024637,,,,,SAMEA788086,
ERR024638,,,,,SAMEA788091,
ERR024639,,,,,SAMEA788092,
ERR024754,,,,,SAMEA788694,
ERR024755,,,,,SAMEA788693,
ERR024804,,,,,SAMEA788678,
ERR024809,,,,,SAMEA788662,
ERR024945,,,,,SAMEA788102,
ERR024953,,,,,SAMEA788105,
ERR024954,,,,,SAMEA788093,
ERR024955,,,,,SAMEA788094,
ERR028647,,,,,SAMEA788709,
ERR10109283,26/6/2022,,Human, Stool,SAMEA110694967,
ERR10124390,,,,,SAMEA9477326,
ERR10124398,,,,,SAMEA9477334,
ERR10124460,,,,,SAMEA9477366,
ERR10368784,,,,,SAMEA111476756,
ERR10368791,,,,,SAMEA111476737,
ERR10368793,,,,,SAMEA111476755,
ERR10368795,,,,,SAMEA111476743,
ERR10368810,,,,,SAMEA111476754,
ERR10368828,,,,,SAMEA111476729,
ERR10368835,,,,,SAMEA111476742,
ERR10368839,,,,,SAMEA111476741,
ERR10368842,,,,,SAMEA111476748,
ERR10368857,,,,,SAMEA111476757,
ERR10441519,2020,,blood,,SAMEA111503976,
ERR10460919,15/7/2022,,Human, Other,,SAMEA111546121
ERR10502528,,,stool,,SAMEA112150820,
ERR10880385,18/11/2022,,Human, Stool,,SAMEA112639877
ERR10928752,,,,Homo sapiens,SAMEA112681619,
ERR10928753,,,,Homo sapiens,SAMEA112681620,
ERR10928754,,,,Homo sapiens,SAMEA112681621,
ERR10928755,,,,Homo sapiens,SAMEA112681622,
ERR10928756,,,,Homo sapiens,SAMEA112681623,
ERR10928758,,,,Cattle,SAMEA112681624,
ERR1520683,,,,,SAMEA2822418,
ERR1540288,,,,,SAMEA4349329,
ERR1540292,,,,,SAMEA4349333,
ERR1540304,,,,,SAMEA4349345,
ERR1540314,,,,,SAMEA4349355,
ERR1540315,,,,,SAMEA4349356,
ERR1540316,,,,,SAMEA4349357,
ERR1540319,,,,,SAMEA4349360,
ERR1540327,,,,,SAMEA4349368,
ERR1540330,,,,,SAMEA4349371,
ERR1540333,,,,,SAMEA4349374,
ERR1540341,,,,,SAMEA4349382,
ERR1540346,,,,,SAMEA4349387,
ERR1540357,,,,,SAMEA4349398,
ERR1540365,,,,,SAMEA4349406,
ERR1540366,,,,,SAMEA4349407,
ERR1540373,,,,,SAMEA4349414,
ERR1540374,,,,,SAMEA4349415,
ERR1540377,,,,,SAMEA4349418,
ERR1540380,,,,,SAMEA4349421,
ERR1540381,,,,,SAMEA4349422,
ERR1540384,,,,,SAMEA4349425,
ERR1540386,,,,,SAMEA4349427,
ERR1540389,,,,,SAMEA4349430,
ERR1540393,,,,,SAMEA4349434,
ERR1540394,,,,,SAMEA4349435,
ERR1540395,,,,,SAMEA4349436,
ERR1540396,,,,,SAMEA4349437,
ERR1540397,,,,,SAMEA4349438,
ERR1540398,,,,,SAMEA4349439,
ERR1540399,,,,,SAMEA4349440,
ERR1540403,,,,,SAMEA4349444,
ERR1540404,,,,,SAMEA4349445,
ERR1540406,,,,,SAMEA4349447,
ERR1540412,,,,,SAMEA4349453,
ERR1540414,,,,,SAMEA4349455,
ERR1540415,,,,,SAMEA4349456,
ERR1540416,,,,,SAMEA4349457,
ERR1540425,,,,,SAMEA4349466,
ERR1540427,,,,,SAMEA4349468,
ERR1540433,,,,,SAMEA4349474,
ERR1540434,,,,,SAMEA4349475,
ERR1540438,,,,,SAMEA4349479,
ERR1540439,,,,,SAMEA4349480,
ERR1540442,,,,,SAMEA4349483,
ERR1540444,,,,,SAMEA4349485,
ERR1540446,,,,,SAMEA4349487,
ERR1540457,,,,,SAMEA4349498,
ERR1540467,,,,,SAMEA4349508,
ERR1540470,,,,,SAMEA4349511,
ERR1540471,,,,,SAMEA4349512,
ERR1540472,,,,,SAMEA4349513,
ERR1540473,,,,,SAMEA4349514,
ERR1540474,,,,,SAMEA4349515,
ERR1540475,,,,,SAMEA4349516,
ERR1540484,,,,,SAMEA4349525,
ERR1540485,,,,,SAMEA4349526,
ERR1540486,,,,,SAMEA4349527,
ERR1540491,,,,,SAMEA4349532,
ERR1540494,,,,,SAMEA4349535,
ERR1540499,,,,,SAMEA4349540,
ERR1540500,,,,,SAMEA4349541,
ERR1540501,,,,,SAMEA4349542,
ERR1540504,,,,,SAMEA4349545,
ERR1540505,,,,,SAMEA4349546,
ERR1540506,,,,,SAMEA4349547,
ERR1540507,,,,,SAMEA4349548,
ERR1540533,,,,,SAMEA4349574,
ERR1540534,,,,,SAMEA4349575,
ERR1540547,,,,,SAMEA4349588,
ERR1540552,,,,,SAMEA4349593,
ERR1540553,,,,,SAMEA4349594,
ERR1540559,,,,,SAMEA4349600,
ERR1540561,,,,,SAMEA4349602,
ERR1540562,,,,,SAMEA4349603,
ERR1540565,,,,,SAMEA4349606,
ERR1540566,,,,,SAMEA4349607,
ERR1540567,,,,,SAMEA4349608,
ERR1540568,,,,,SAMEA4349609,
ERR1540569,,,,,SAMEA4349610,
ERR1540570,,,,,SAMEA4349611,
ERR1540577,,,,,SAMEA4349618,
ERR1540578,,,,,SAMEA4349619,
ERR1540579,,,,,SAMEA4349620,
ERR1540583,,,,,SAMEA4349624,
ERR1540584,,,,,SAMEA4349625,
ERR1540585,,,,,SAMEA4349626,
ERR1540589,,,,,SAMEA4349630,
ERR1540590,,,,,SAMEA4349631,
ERR1540591,,,,,SAMEA4349632,
ERR1540594,,,,,SAMEA4349635,
ERR1540595,,,,,SAMEA4349636,
ERR1540596,,,,,SAMEA4349637,
ERR1540597,,,,,SAMEA4349638,
ERR1540601,,,,,SAMEA4349642,
ERR1540602,,,,,SAMEA4349643,
ERR1540607,,,,,SAMEA4349648,
ERR1540608,,,,,SAMEA4349649,
ERR1540611,,,,,SAMEA4349652,
ERR1540612,,,,,SAMEA4349653,
ERR1540613,,,,,SAMEA4349654,
ERR1540614,,,,,SAMEA4349655,
ERR1540615,,,,,SAMEA4349656,
ERR1540618,,,,,SAMEA4349659,
ERR1540620,,,,,SAMEA4349661,
ERR1540621,,,,,SAMEA4349662,
ERR1540622,,,,,SAMEA4349663,
ERR1540627,,,,,SAMEA4349668,
ERR1540628,,,,,SAMEA4349669,
ERR1540631,,,,,SAMEA4349672,
ERR1540632,,,,,SAMEA4349673,
ERR1540635,,,,,SAMEA4349676,
ERR1540636,,,,,SAMEA4349677,
ERR1540637,,,,,SAMEA4349678,
ERR1558650,,,,,SAMEA3139672,
ERR1590172,,,,,SAMEA3139668,
ERR1590174,,,,,SAMEA3139670,
ERR1590176,,,,,SAMEA2822419,
ERR1590178,,,,,SAMEA2822422,
ERR1590180,,,,,SAMEA2822424,
ERR1590182,,,,,SAMEA2822426,
ERR1590183,,,,,SAMEA2822427,
ERR1590184,,,,,SAMEA2822428,
ERR1590185,,,,,SAMEA2822429,
ERR1590186,,,,,SAMEA2822430,
ERR1590187,,,,,SAMEA2822431,
ERR1590188,,,,,SAMEA2822432,
ERR1590189,,,,,SAMEA2822433,
ERR1590190,,,,,SAMEA2822434,
ERR1590191,,,,,SAMEA2822435,
ERR1590192,,,,,SAMEA2822436,
ERR1590193,,,,,SAMEA2822437,
ERR1590195,,,,,SAMEA2822439,
ERR1590196,,,,,SAMEA2822441,
ERR1590197,,,,,SAMEA2822442,
ERR1590198,,,,,SAMEA2822443,
ERR1590199,,,,,SAMEA2822444,
ERR1590200,,,,,SAMEA2822445,
ERR1590202,,,,,SAMEA2822447,
ERR1590203,,,,,SAMEA2822448,
ERR1590204,,,,,SAMEA2822449,
ERR1590205,,,,,SAMEA2822450,
ERR1590206,,,,,SAMEA2822451,
ERR1590208,,,,,SAMEA2822453,
ERR1590209,,,,,SAMEA2822454,
ERR1590210,,,,,SAMEA2822455,
ERR1592391,,,,,SAMEA4390568,
ERR1592392,,,,,SAMEA4390569,
ERR1592393,,,,,SAMEA4390620,
ERR1592397,,,,,SAMEA4390623,
ERR1592398,,,,,SAMEA4390624,
ERR1592401,,,,,SAMEA4390627,
ERR1592404,,,,,SAMEA4390630,
ERR1592408,,,,,SAMEA4390634,
ERR1592417,,,,,SAMEA4390643,
ERR1592433,,,,,SAMEA4390656,
ERR1592435,,,,,SAMEA4390658,
ERR1592438,,,,,SAMEA4390659,
ERR1592439,,,,,SAMEA4390660,
ERR1592442,,,,,SAMEA4390661,
ERR1592443,,,,,SAMEA4390662,
ERR1592452,,,,,SAMEA4390573,
ERR1592453,,,,,SAMEA4390668,
ERR1592464,,,,,SAMEA4390677,
ERR1592465,,,,,SAMEA4390678,
ERR1592467,,,,,SAMEA4390575,
ERR1592469,,,,,SAMEA4390680,
ERR1592473,,,,,SAMEA4390684,
ERR1592476,,,,,SAMEA4390687,
ERR1592479,,,,,SAMEA4390689,
ERR1592483,,,,,SAMEA4390692,
ERR1592487,,,,,SAMEA4390696,
ERR1592489,,,,,SAMEA4390576,
ERR1592491,,,,,SAMEA4390583,
ERR1592492,,,,,SAMEA4390584,
ERR1592502,,,,,SAMEA4390703,
ERR1592514,,,,,SAMEA4390706,
ERR1592516,,,,,SAMEA4390708,
ERR1592517,,,,,SAMEA4390709,
ERR1592518,,,,,SAMEA4390710,
ERR1592521,,,,,SAMEA4390713,
ERR1592538,,,,,SAMEA4390726,
ERR1592556,,,,,SAMEA4390589,
ERR1592562,,,,,SAMEA4390590,
ERR1592566,,,,,SAMEA4390750,
ERR1592584,,,,,SAMEA2822456,
ERR1592585,,,,,SAMEA2822458,
ERR1592586,,,,,SAMEA2822459,
