,id,Serovar,ST,Country,Source,cph2,dam_1,dcm_2,dinI_1,folP_2,glfT2,gltS_2,gpFI,hin_2,kdpE,merA,merC,merP,merR,merT,neo,neo_1,oadB_3,repA,rfbJ,rfbV,rop,rpsK,rpsT,rrrD,rsxC_1,sopD2,sspH2,tetA_2,tetC,tetR,tfaE_1,tnpR,tnsB,traR,tuf1_2,ybiT,yhcR,ylcG_1,yqjZ
0,SRR10013020,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,SRR10013026,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
2,SRR10013113,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
3,SRR10013452,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
4,SRR10084998,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1
5,SRR10085072,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
6,SRR10116840,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
7,SRR10156075,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1
8,SRR10156107,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
9,SRR10156139,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
10,SRR10164592,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
11,SRR10165274,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
12,SRR10165293,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
13,SRR10192543,"I 1,4,[5],12:i:-",ST34,United States,Swine,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0
14,SRR10198975,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1
15,SRR10198982,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
16,SRR10237546,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
17,SRR10257120,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
18,SRR10257128,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
19,SRR10257873,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
20,SRR10258290,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1
21,SRR10356993,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1
22,SRR10493564,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
23,SRR10503756,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1
24,SRR10530280,"I 1,4,[5],12:i:-",ST34,United States,Swine,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
