,id,Serovar,ST,Country,Source,aptA,bla,cph2,cusF,dam_1,dcm_2,dinI_1,dnaC_2,flxA,folP_2,glfT2,gltJ,gltS_2,hin,hxlA,hxlB,iolG_3,lexA_2,lolE,merA,merC,merP,merT,neo,oadA_1,pgiA,ptsG_2,repA,rpsK,rpsT,rrrD,sopE,srlB_2,srlE_2,ssb_2,sspH2,tetA_2,tetC,tetR,tnpR,tnsB,tolA,xerC_1,xerD_3,yafO,ybfF,ybiT,ylcG_2,yqjZ
0,SRR10011449,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,SRR10031603,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
2,SRR10096429,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
3,SRR10133396,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1
4,SRR10133404,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0
5,SRR10139523,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
6,SRR10139531,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
7,SRR10139571,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1
8,SRR10198892,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1
9,SRR10198933,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
10,SRR10198949,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
11,SRR10228850,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
12,SRR10228896,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
