#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
DRR107045,NODE_24_length_51337_cov_11.840958,11909,12169,+,IncFII(pCoo)_1_pCoo,1-262/262,========/======,1/1,99.62,96.18,plasmidfinder,CR942285,IncFII(pCoo)_1_pCoo_CR942285,
DRR107045,NODE_39_length_6890_cov_62.259985,3350,3467,+,ColRNAI_1,1-118/130,==============.,0/0,90.77,88.98,plasmidfinder,DQ298019,ColRNAI_1__DQ298019,
DRR107045,NODE_48_length_4115_cov_24.764286,3188,3389,-,Col8282_1,4-205/207,===============,0/0,97.58,89.60,plasmidfinder,DQ995352,Col8282_1__DQ995352,
DRR107048,NODE_105_length_4115_cov_37.920443,1763,1964,+,Col8282_1,4-205/207,===============,0/0,97.58,89.60,plasmidfinder,DQ995352,Col8282_1__DQ995352,
DRR107048,NODE_27_length_60511_cov_293.993863,48109,48369,-,IncFII(pCoo)_1_pCoo,1-262/262,========/======,1/1,99.62,96.18,plasmidfinder,CR942285,IncFII(pCoo)_1_pCoo_CR942285,
DRR107048,NODE_93_length_6890_cov_30.566642,3424,3541,-,ColRNAI_1,1-118/130,==============.,0/0,90.77,88.98,plasmidfinder,DQ298019,ColRNAI_1__DQ298019,
DRR107050,NODE_61_length_989_cov_2.476445,449,566,-,ColRNAI_1,1-118/130,==============.,0/0,90.77,88.98,plasmidfinder,DQ298019,ColRNAI_1__DQ298019,
DRR107058,NODE_44_length_7500_cov_178.860443,5895,6155,+,IncFII_1,1-261/261,===============,0/0,100.00,99.62,plasmidfinder,AY458016,IncFII_1__AY458016,
DRR107058,NODE_51_length_4373_cov_7356.121584,422,552,-,ColRNAI_1,1-130/130,========/======,1/1,100.00,83.97,plasmidfinder,DQ298019,ColRNAI_1__DQ298019,
DRR107058,NODE_51_length_4373_cov_7356.121584,1131,1413,-,Col440II_1,2-281/282,========/======,1/3,99.29,82.33,plasmidfinder,CP023921.1,Col440II_1__CP023921.1,
DRR107059,NODE_48_length_4373_cov_914.484947,1092,1222,-,ColRNAI_1,1-130/130,========/======,1/1,100.00,83.97,plasmidfinder,DQ298019,ColRNAI_1__DQ298019,
DRR107059,NODE_48_length_4373_cov_914.484947,1801,2083,-,Col440II_1,2-281/282,========/======,1/3,99.29,82.33,plasmidfinder,CP023921.1,Col440II_1__CP023921.1,
DRR236397,NODE_39_length_5686_cov_900.081513,3796,3915,+,ColRNAI_1,13-130/130,.=======/======,2/2,90.77,89.17,plasmidfinder,DQ298019,ColRNAI_1__DQ298019,
