"","id","Isolation source","Year","Source","Continent"
"1","SRR2577299","stool","2016","Clinical","North America"
"2","SRR1604876","retail meat","2014","Environmental/Others","Europe"
"3","SRR1635091","human","2014","Clinical","Europe"
"4","SRR1635109","human","2014","Clinical","Europe"
"5","SRR1635111","human","2014","Clinical","Europe"
"6","SRR1635123","human","2014","Clinical","Europe"
"7","SRR1645141","human","2015","Clinical","Europe"
"8","SRR1645153","human","2015","Clinical","Europe"
"9","SRR1645169","human","2015","Clinical","Europe"
"10","SRR1645199","human","2015","Clinical","Europe"
"11","SRR1645206","human","2015","Clinical","Europe"
"12","SRR1645211","human","2015","Clinical","Europe"
"13","SRR1645214","food","2015","Environmental/Others","Europe"
"14","SRR1645228","human","2015","Clinical","Europe"
"15","SRR1645237","human","2015","Clinical","Europe"
"16","SRR1645239","human","2015","Clinical","Europe"
"17","SRR1645279","human","2015","Clinical","Europe"
"18","SRR1645286","human","2015","Clinical","Europe"
"19","SRR1645345","human","2015","Clinical","Europe"
"20","SRR1645348","human","2015","Clinical","Europe"
"21","SRR1645357","human","2015","Clinical","Europe"
"22","SRR1645359","human","2015","Clinical","Europe"
"23","SRR1645362","human","2015","Clinical","Europe"
"24","SRR1645370","human","2015","Clinical","Europe"
"25","SRR1645372","human","2015","Clinical","Europe"
"26","SRR1645382","human","2015","Clinical","Europe"
"27","SRR1645431","human","2015","Clinical","Europe"
"28","SRR1645434","human","2015","Clinical","Others"
"29","SRR1645453","human","2015","Clinical","Europe"
"30","SRR1645460","human","2015","Clinical","Europe"
"31","SRR1645463","human","2015","Clinical","Europe"
"32","SRR1645467","human","2015","Clinical","Europe"
"33","SRR1645536","human","2015","Clinical","Europe"
"34","SRR1645544","human","2015","Clinical","Europe"
"35","SRR1645566","human","2015","Clinical","Europe"
"36","SRR1645567","human","2015","Clinical","Europe"
"37","SRR1645576","human","2015","Clinical","Europe"
"38","SRR1645610","human","2015","Clinical","Europe"
"39","SRR1645730","human","2015","Clinical","Europe"
"40","SRR1645763","human","2015","Clinical","Europe"
"41","SRR1645773","human","2015","Clinical","Europe"
"42","SRR1645780","human","2015","Clinical","Europe"
"43","SRR1645791","human","2015","Clinical","Europe"
"44","SRR1645792","human","2015","Clinical","Europe"
"45","SRR1645802","human","2015","Clinical","Europe"
"46","SRR1645809","human","2015","Clinical","Europe"
"47","SRR1645832","human","2015","Clinical","Europe"
"48","SRR1645834","human","2015","Clinical","Europe"
"49","SRR1645843","human","2015","Clinical","Europe"
"50","SRR1645864","human","2015","Clinical","Europe"
"51","SRR1645909","human","2015","Clinical","Europe"
"52","SRR1645935","human","2015","Clinical","Europe"
"53","SRR1645936","human","2015","Clinical","Others"
"54","SRR1645944","human","2015","Clinical","Europe"
"55","SRR1645971","human","2015","Clinical","Europe"
"56","SRR1645973","human","2015","Clinical","Europe"
"57","SRR1645989","human","2015","Clinical","Europe"
"58","SRR1646015","human","2015","Clinical","Europe"
"59","SRR1646053","human","2015","Clinical","Europe"
"60","SRR1646057","human","2015","Clinical","Europe"
"61","SRR1646077","human","2015","Clinical","Europe"
"62","SRR1646095","human","2015","Clinical","Europe"
"63","SRR1646132","human","2015","Clinical","Europe"
"64","SRR1646152","human","2015","Clinical","Others"
"65","SRR1646153","food","2015","Environmental/Others","Europe"
"66","SRR1646190","human","2015","Clinical","Europe"
"67","SRR1646272","human","2015","Clinical","Europe"
"68","SRR1646273","human","2015","Clinical","Europe"
"69","SRR1646274","human","2015","Clinical","Europe"
"70","SRR1646347","human","2015","Clinical","Europe"
"71","SRR1646375","human","2015","Clinical","Europe"
"72","SRR1793530","pig at slaughter","2015","Environmental/Others","Europe"
"73","SRR1793533","pig at slaughter","2015","Environmental/Others","Europe"
"74","SRR1957769","human","2015","Clinical","Europe"
"75","SRR1957818","human","2015","Clinical","Europe"
"76","SRR1957846","human","2015","Clinical","Europe"
"77","SRR1957858","human","2015","Clinical","Europe"
"78","SRR1957881","human","2015","Clinical","Europe"
"79","SRR1957915","animal","2015","Environmental/Others","Europe"
"80","SRR1957966","food","2015","Environmental/Others","Europe"
"81","SRR1958004","human","2015","Clinical","Europe"
"82","SRR1958016","animal","2015","Environmental/Others","Europe"
"83","SRR1958071","human","2015","Clinical","Europe"
"84","SRR1958093","human","2015","Clinical","Europe"
"85","SRR1958133","human","2015","Clinical","Europe"
"86","SRR1958146","human","2015","Clinical","Europe"
"87","SRR1958181","human","2015","Clinical","Europe"
"88","SRR1958185","animal","2015","Environmental/Others","Europe"
"89","SRR1958203","human","2015","Clinical","Europe"
"90","SRR1958247","human","2015","Clinical","Europe"
"91","SRR1958260","human","2015","Clinical","Europe"
"92","SRR1958331","human","2015","Clinical","Europe"
"93","SRR1958388","human","2015","Clinical","Europe"
"94","SRR1958473","human","2015","Clinical","Europe"
"95","SRR1958483","human","2015","Clinical","Europe"
"96","SRR1958548","animal","2015","Environmental/Others","Europe"
"97","SRR1958570","human","2015","Clinical","Europe"
"98","SRR1958596","human","2015","Clinical","Europe"
"99","SRR1958620","human","2015","Clinical","Europe"
"100","SRR1958625","human","2015","Clinical","Europe"
"101","SRR1958629","human","2015","Clinical","Europe"
"102","SRR1958639","human","2015","Clinical","Europe"
"103","SRR1959221","human","2015","Clinical","Europe"
"104","SRR1959242","human","2015","Clinical","Europe"
"105","SRR1959314","human","2015","Clinical","Europe"
"106","SRR1959385","human","2015","Clinical","Europe"
"107","SRR1959467","human","2015","Clinical","Europe"
"108","SRR1959473","human","2015","Clinical","Europe"
"109","SRR1959504","human","2015","Clinical","Europe"
"110","SRR1959505","food","2015","Environmental/Others","Europe"
"111","SRR1959507","human","2015","Clinical","Europe"
"112","SRR1960033","human","2015","Clinical","Europe"
"113","SRR1960074","human","2015","Clinical","Europe"
"114","SRR1960076","human","2015","Clinical","Europe"
"115","SRR1960127","human","2015","Clinical","Europe"
"116","SRR1960147","human","2015","Clinical","Europe"
"117","SRR1960169","human","2015","Clinical","Europe"
