FILE,SCHEME,ST,aroC,dnaN,hemD,hisD,purE,sucA,thrA
DRR022205,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR107052,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR107053,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR107054,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR107055,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR107057,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236390,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236391,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236404,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236406,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236409,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236410,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236412,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236413,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236415,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236417,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236418,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236423,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236437,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236446,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236447,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236455,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236461,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236462,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236465,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236479,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236502,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236503,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236504,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236509,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236518,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236519,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236520,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236521,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236522,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236531,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236533,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236534,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236537,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236539,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236546,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236549,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236551,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236564,senterica_achtman_2,34,10,19,12,9,5,9,2
