#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	Min-same	Min-diff	BioSample	Assembly	Computed types
Salmonella enterica	2010K-2582	"2010K-2582","SRS651993"	4,[5],12:i:-	PDT000040742.3	2016-04-15T21:10:52Z	USA	stool	clinical	6	6	SAMN02867568	GCA_010663225.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	Sente083	"S83","SRS717311","Sente083"	Indiana	PDT000040821.2	2014-10-17T14:06:12Z	United Kingdom	retail meat	environmental/other	8	6	SAMN03097226	GCA_010411025.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	H124020469	"H124020469","H124020469.biosample","SRS733761"	Typhimurium	PDT000041903.4	2014-11-05T21:07:10Z	United Kingdom: South of England	human	clinical	13	4	SAMN03152394	GCA_006387735.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H122360542	"H122360542","H122360542.biosample","SRS733790"	Typhimurium	PDT000041921.4	2014-11-05T21:07:14Z	United Kingdom: South of England	human	clinical	1	4	SAMN03152410	GCA_006388135.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123780510	"H123780510","H123780510.biosample","SRS733793"	Typhimurium	PDT000041923.4	2014-11-05T21:07:15Z	United Kingdom: Midlands and East of England	human	clinical	11	21	SAMN03152409	GCA_006388235.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	H123920644	"H123920644","H123920644.biosample","SRS733782"	Typhimurium	PDT000041935.4	2014-11-05T21:07:17Z	United Kingdom: Midlands and East of England	human	clinical	0	9	SAMN03152427	GCA_006388585.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H124020460	"H124020460","H124020460.biosample","SRS739842"	Typhimurium	PDT000042799.4	2015-02-10T19:10:02Z	United Kingdom: North of England	human	clinical	5	11	SAMN03168512	GCA_008031235.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123640781	"H123640781","H123640781.biosample","SRS739853"	Typhimurium	PDT000042810.4	2015-02-10T19:10:02Z	United Kingdom: London	human	clinical	0	9	SAMN03168533	GCA_008032515.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H121280416	"H121280416","H121280416.biosample","SRS739875"	Typhimurium	PDT000042826.4	2015-02-10T19:10:03Z	United Kingdom: South of England	human	clinical	9	12	SAMN03168549	GCA_008032625.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	H122860652	"H122860652","H122860652.biosample","SRS739900"	Typhimurium	PDT000042856.4	2015-02-10T19:10:04Z	United Kingdom: Wales	human	clinical	2	6	SAMN03168590	GCA_008032175.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123640763	"H123640763","H123640763.biosample","SRS739905"	Typhimurium	PDT000042862.4	2015-02-10T19:10:04Z	United Kingdom: Midlands and East of England	human	clinical	13	23	SAMN03168596	GCA_011592105.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H124940557	"H124940557","H124940557.biosample","SRS739910"	Typhimurium	PDT000042867.4	2015-02-10T19:10:04Z	United Kingdom: Midlands and East of England	human	clinical	2	10	SAMN03168598	GCA_010877725.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H124840275	"H124840275","H124840275.biosample","SRS739913"	Typhimurium	PDT000042870.4	2015-02-10T19:10:04Z	United Kingdom: Midlands and East of England	food	environmental/other	0	4	SAMN03168604	GCA_011076655.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123640768	"H123640768","H123640768.biosample","SRS739927"	Typhimurium	PDT000042884.4	2015-02-10T19:10:05Z	United Kingdom: Midlands and East of England	human	clinical	5	7	SAMN03168622	GCA_010966955.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123080458	"H123080458","H123080458.biosample","SRS739936"	Typhimurium	PDT000042893.4	2015-02-10T19:10:05Z	United Kingdom: South of England	human	clinical	1	4	SAMN03168633	GCA_011076565.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H124280311	"H124280311","H124280311.biosample","SRS739938"	Typhimurium	PDT000042895.4	2015-02-10T19:10:05Z	United Kingdom: Midlands and East of England	human	clinical	5	10	SAMN03168634	GCA_011518105.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123900527	"H123900527","H123900527.biosample","SRS739969"	Typhimurium	PDT000042926.4	2015-02-10T19:10:06Z	United Kingdom: Midlands and East of England	human	clinical	0	9	SAMN03168701	GCA_011595305.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H122120436	"H122120436","H122120436.biosample","SRS739976"	Typhimurium	PDT000042933.4	2015-02-10T19:10:06Z	United Kingdom: North of England	human	clinical	3	16	SAMN03168708	GCA_011076875.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	H122120435	"H122120435","H122120435.biosample","SRS740020"	Typhimurium	PDT000042953.4	2015-02-10T19:10:07Z	United Kingdom: North of England	human	clinical	10	19	SAMN03168727	GCA_011514625.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H125200590	"H125200590","H125200590.biosample","SRS740023"	Typhimurium	PDT000042956.4	2015-02-10T19:10:07Z	United Kingdom: Midlands and East of England	human	clinical	4	11	SAMN03168729	GCA_011078585.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H124060471	"H124060471","H124060471.biosample","SRS740032"	Typhimurium	PDT000042965.4	2015-02-10T19:10:07Z	United Kingdom: South of England	human	clinical	1	13	SAMN03168740	GCA_011076815.1	antigen_formula=4:i:1,2,serotype=Typhimurium
